height_km,temp_K,pressure_hPa,wvd_gm3,n
81.5,195.7133661,0.008169164,0,1.000000003
82,194.738599,0.00750131,0,1.000000003
82.5,193.7639832,0.006885199,0,1.000000003
83,192.7895187,0.006317046,0,1.000000003
83.5,191.8152056,0.005793325,0,1.000000002
84,190.8410437,0.005310755,0,1.000000002
84.5,189.8670331,0.004866281,0,1.000000002
85,188.8931737,0.004457064,0,1.000000002
85.5,187.9194654,0.004080461,0,1.000000002
86,186.9459083,0.003734019,0,1.000000002
86.5,186.8673,0.003416271,0,1.000000001
87,186.8673,0.003125821,0,1.000000001
87.5,186.8673,0.002860232,0,1.000000001
88,186.8673,0.00261734,0,1.000000001
88.5,186.8673,0.00239518,0,1.000000001
89,186.8673,0.002191964,0,1.000000001
89.5,186.8673,0.002006063,0,1.000000001
90,186.8673,0.001835997,0,1.000000001
90.5,186.8673,0.001680413,0,1.000000001
91,186.8673,0.001538078,0,1.000000001
91.5,186.8912915,0.001407867,0,1.000000001
92,186.9633115,0.001288752,0,1.000000001
92.5,187.0834962,0.001179792,0,1.000000001
93,187.2520743,0.001080128,0,1
93.5,187.4693691,0.000988973,0,1
94,187.7358013,0.000905607,0,1
94.5,188.0518939,0.000829373,0,1
95,188.4182764,0.000759666,0,1
95.5,188.8356924,0.000695933,0,1
96,189.3050067,0.000637668,0,1
96.5,189.8272155,0.000584408,0,1
97,190.403457,0.000535727,0,1
97.5,191.0350259,0.000491235,0,1
98,191.723389,0.000450576,0,1
98.5,192.4702046,0.000413423,0,1
99,193.2773459,0.000379476,0,1
99.5,194.1469286,0.00034846,0,1
100,195.0813443,0.000320124,0,1
